,text,tweet_coord,tweet_created,tweet_location,negative,positive,neutral,compound,lemmatized,clean,blob_polarity,blob_subjectivity
0, thanks,,2015-02-24 11:42:48 -0800,usa,0.0,1.0,0.0,0.4404,['thanks'],thanks,0.2,0.2
1, Thanks for taking care of that MR Happy customer,,2015-02-24 11:42:41 -0800,"Richmond, VA",0.0,0.62,0.38,0.8689,"['thanks', 'taking', 'care', 'mr', 'happy', 'customer']",thanks taking care mr happy customer,0.5,0.6
2, still no refund or word via DM Please resolve this issue as your Cancelled Flightled flight was useless to my assistants trip,,2015-02-24 11:39:45 -0800,"Bay Area, California ",0.242,0.17,0.588,-0.2732,"['still', 'refund', 'word', 'via', 'dm', 'please', 'resolve', 'issue', 'cancelled', 'flightled', 'useless', 'assistant', 'trip']",still refund word via dm please resolve issue cancelled flightled useless assistant trip,-0.5,0.2
3, Delayed due to lack of crew and now delayed again because theres a long line for deicing Still need to improve service united,,2015-02-24 11:39:25 -0800,,0.212,0.198,0.59,0.1531,"['delayed', 'due', 'lack', 'crew', 'delayed', 'there', 'long', 'line', 'deicing', 'still', 'need', 'improve', 'service']",delayed due lack crew delayed there long line deicing still need improve service,-0.0875,0.3875
4, thanks  we filled it out Hows our luck with this Is it common,,2015-02-24 11:38:15 -0800,,0.0,0.349,0.651,0.7096,"['thanks', 'filled', 'hows', 'luck', 'common']",thanks filled hows luck common,0.10000000000000003,0.5333333333333333
5, Your ERIORD express connections are hugely popular  now if only we could have an ERIEWR hop ,,2015-02-24 11:36:12 -0800,"Erie, PA",0.0,0.171,0.829,0.4754,"['eriord', 'express', 'connection', 'hugely', 'popular', 'could', 'eriewr', 'hop']",eriord express connection hugely popular could eriewr hop,0.6,0.9
6, even on international flight Glasgow to the US Then what about orlando to Newark All 90 mins,,2015-02-24 11:33:46 -0800,"Kilmarnock, now Edinburgh. ",0.0,0.0,1.0,0.0,"['even', 'international', 'glasgow', 'u', 'orlando', 'newark', 'min']",even international glasgow u orlando newark min,0.0,0.0
7, you think you boarded flight AU1066 too early I think so,"[19.43706642, -99.07927123]",2015-02-24 11:31:01 -0800,New York,0.0,0.0,1.0,0.0,"['think', 'boarded', 'au', 'early', 'think']",think boarded au early think,0.1,0.3
8, I understand but its tough when there is no way to get to the airport wo serious risk of an accident Its a steep price,,2015-02-24 11:20:56 -0800,"Berkeley Heights, NJ",0.416,0.0,0.584,-0.8957,"['understand', 'tough', 'way', 'get', 'airport', 'wo', 'serious', 'risk', 'accident', 'steep', 'price']",understand tough way get airport wo serious risk accident steep price,-0.3611111111111111,0.75
9, Gate agent hooked me up with alternate flights If you have a way to PREVENT the constant issues that would rock,,2015-02-24 11:19:32 -0800,"Columbus, Ohio",0.0,0.088,0.912,0.2103,"['gate', 'agent', 'hooked', 'alternate', 'flight', 'way', 'prevent', 'constant', 'issue', 'would', 'rock']",gate agent hooked alternate flight way prevent constant issue would rock,0.0,0.16666666666666666
