,Unnamed: 0,text,tweet_coord,tweet_created,tweet_location,negative,positive,neutral,compound,lemmatized,clean,blob_polarity,blob_subjectivity,keywords
0,0, thanks,,2015-02-24 11:42:48 -0800,usa,0.0,1.0,0.0,0.4404,['thanks'],thanks,0.2,0.2, compliment
1,1, Thanks for taking care of that MR Happy customer,,2015-02-24 11:42:41 -0800,"Richmond, VA",0.0,0.62,0.38,0.8689,"['thanks', 'taking', 'care', 'mr', 'happy', 'customer']",thanks taking care mr happy customer,0.5,0.6, compliment
2,2, still no refund or word via DM Please resolve this issue as your Cancelled Flightled flight was useless to my assistants trip,,2015-02-24 11:39:45 -0800,"Bay Area, California ",0.242,0.17,0.588,-0.2732,"['still', 'refund', 'word', 'via', 'dm', 'please', 'resolve', 'issue', 'cancelled', 'flightled', 'useless', 'assistant', 'trip']",still refund word via dm please resolve issue cancelled flightled useless assistant trip,-0.5,0.2, refund cancellation
3,3, Delayed due to lack of crew and now delayed again because theres a long line for deicing Still need to improve service united,,2015-02-24 11:39:25 -0800,,0.212,0.198,0.59,0.1531,"['delayed', 'due', 'lack', 'crew', 'delayed', 'there', 'long', 'line', 'deicing', 'still', 'need', 'improve', 'service']",delayed due lack crew delayed there long line deicing still need improve service,-0.0875,0.3875, staff delay
4,4, thanks  we filled it out Hows our luck with this Is it common,,2015-02-24 11:38:15 -0800,,0.0,0.349,0.6509999999999999,0.7096,"['thanks', 'filled', 'hows', 'luck', 'common']",thanks filled hows luck common,0.10000000000000003,0.5333333333333333, compliment
5,5, Your ERIORD express connections are hugely popular  now if only we could have an ERIEWR hop ,,2015-02-24 11:36:12 -0800,"Erie, PA",0.0,0.171,0.8290000000000001,0.4754,"['eriord', 'express', 'connection', 'hugely', 'popular', 'could', 'eriewr', 'hop']",eriord express connection hugely popular could eriewr hop,0.6,0.9, connection
9,9, Gate agent hooked me up with alternate flights If you have a way to PREVENT the constant issues that would rock,,2015-02-24 11:19:32 -0800,"Columbus, Ohio",0.0,0.08800000000000001,0.912,0.2103,"['gate', 'agent', 'hooked', 'alternate', 'flight', 'way', 'prevent', 'constant', 'issue', 'would', 'rock']",gate agent hooked alternate flight way prevent constant issue would rock,0.0,0.16666666666666666, staff
11,11, Thanks It is on the same ticket,,2015-02-24 11:10:47 -0800,"Portland, OR",0.0,0.326,0.674,0.4404,"['thanks', 'ticket']",thanks ticket,0.2,0.2, compliment ticketing_billing
13,13, is the worst Nonrefundable First class tickets Oh because when you select GlobalFC their system auto selects economy wupgrade,,2015-02-24 11:08:15 -0800,Las Vegas ,0.18600000000000003,0.0,0.8140000000000001,-0.6249,"['worst', 'nonrefundable', 'first', 'class', 'ticket', 'oh', 'select', 'globalfc', 'system', 'auto', 'selects', 'economy', 'wupgrade']",worst nonrefundable first class ticket oh select globalfc system auto selects economy wupgrade,-0.375,0.6666666666666666, ticketing_billing refund
14,14,  So I can buy tix 3 days before flight but cant transfer the tix  Flawed security logic Flawed customer service,,2015-02-24 11:07:12 -0800,,0.0,0.154,0.846,0.4767,"['buy', 'tix', 'day', 'cant', 'transfer', 'tix', 'flawed', 'security', 'logic', 'flawed', 'customer', 'service']",buy tix day cant transfer tix flawed security logic flawed customer service,-0.5,0.5, staff ticketing_billing
15,15, I did start a claim but 810 weeks is unrealistic am I really supposed to go that long with out a car seat for my childRidiculous,,2015-02-24 11:05:21 -0800,,0.0,0.0,1.0,0.0,"['start', 'claim', 'week', 'unrealistic', 'really', 'supposed', 'go', 'long', 'car', 'seat', 'childridiculous']",start claim week unrealistic really supposed go long car seat childridiculous,-0.11666666666666665,0.5333333333333333, refund children
18,18, if the car seat is lost  should just reimburse me for a new one this is not a pair of shoes its a necessity for my child,,2015-02-24 11:03:37 -0800,,0.091,0.0,0.909,-0.3182,"['car', 'seat', 'lost', 'reimburse', 'new', 'one', 'pair', 'shoe', 'necessity', 'child']",car seat lost reimburse new one pair shoe necessity child,0.13636363636363635,0.4545454545454545, refund children
22,22, just wanted to let you know how wonderful Rosetta the gate agent was working flight 6457 Dan to Ase Let her know she wasappreciated,"[39.8621249, -104.6740909]",2015-02-24 10:50:37 -0800,New Jersey/Maryland,0.0,0.139,0.861,0.5719,"['wanted', 'let', 'know', 'wonderful', 'rosetta', 'gate', 'agent', 'working', 'dan', 'ase', 'let', 'know', 'wasappreciated']",wanted let know wonderful rosetta gate agent working dan ase let know wasappreciated,1.0,1.0, staff
24,24, beginning of Feb I called United they said they would send another voucher by mail Never got anything tiredofwaiting,,2015-02-24 10:48:28 -0800,USA,0.0,0.141,0.8590000000000001,0.4215,"['beginning', 'feb', 'called', 'said', 'would', 'send', 'another', 'voucher', 'mail', 'never', 'got', 'anything', 'tiredofwaiting']",beginning feb called said would send another voucher mail never got anything tiredofwaiting,0.0,0.0, delay
32,32, I sure did   I had to drive a total of 3 hours to get my own bag  Id like to explain that debacle but no one wants to talk to me,,2015-02-24 10:35:42 -0800,"Parkersburg, WV",0.09300000000000001,0.113,0.795,-0.1027,"['sure', 'drive', 'total', 'hour', 'get', 'bag', 'id', 'like', 'explain', 'debacle', 'one', 'want', 'talk']",sure drive total hour get bag id like explain debacle one want talk,0.25,0.8194444444444444, baggage
33,33,  Gee thats like almost caring about ppl more than   Think Im more int in having a trusted adult w daughter ,,2015-02-24 10:33:54 -0800,,0.0,0.36200000000000004,0.638,0.818,"['gee', 'thats', 'like', 'almost', 'caring', 'ppl', 'think', 'int', 'trusted', 'adult', 'w', 'daughter']",gee thats like almost caring ppl think int trusted adult w daughter,0.1,0.3, children
34,34, See We were told repeatedly that the pilot was Late Flight and kept getting Late Flightr  After we boarded there was a defibrillator issue,,2015-02-24 10:30:53 -0800,,0.0,0.0,1.0,0.0,"['see', 'told', 'repeatedly', 'pilot', 'late', 'kept', 'getting', 'late', 'flightr', 'boarded', 'defibrillator', 'issue']",see told repeatedly pilot late kept getting late flightr boarded defibrillator issue,-0.3,0.6, staff delay
38,38, How does United refuse to reissue a 400 lost voucher when their plane didnt take off due to mechanics badcustomerservice,,2015-02-24 10:19:22 -0800,USA,0.193,0.12,0.687,-0.1779,"['refuse', 'reissue', 'lost', 'voucher', 'plane', 'didnt', 'take', 'due', 'mechanic', 'badcustomerservice']",refuse reissue lost voucher plane didnt take due mechanic badcustomerservice,-0.125,0.375, staff
40,40, yes weve been with the agents for the last 50 minutes One of the agents have been very rude but thankfully Ladan has been nice,,2015-02-24 10:16:16 -0800,DC,0.065,0.294,0.64,0.8176,"['yes', 'weve', 'agent', 'last', 'minute', 'one', 'agent', 'rude', 'thankfully', 'ladan', 'nice']",yes weve agent last minute one agent rude thankfully ladan nice,0.1,0.5555555555555555, compliment staff
42,42, Have clients with an 11 hr layover at IAH during the day Will they have to claim amp recheck luggage Or will it be taken care of,,2015-02-24 10:14:11 -0800,"Portland, OR",0.0,0.11,0.89,0.4939,"['client', 'hr', 'layover', 'iah', 'day', 'claim', 'recheck', 'luggage', 'taken', 'care']",client hr layover iah day claim recheck luggage taken care,0.0,0.0, baggage refund
45,45, iah to charlotte Baggage claim rep latrice h customerservice non existent Ignored customer then inappropriately touched customer,,2015-02-24 10:11:38 -0800,"Houston, TX",0.133,0.0,0.867,-0.3182,"['iah', 'charlotte', 'baggage', 'claim', 'rep', 'latrice', 'h', 'customerservice', 'non', 'existent', 'ignored', 'customer', 'inappropriately', 'touched', 'customer']",iah charlotte baggage claim rep latrice h customerservice non existent ignored customer inappropriately touched customer,0.0,0.0, staff baggage refund
47,47,  thanks for your helpgot me what I need but its an issue with austrian  I guess I sit awhile longer,,2015-02-24 10:06:47 -0800,The Center of My Universe,0.0,0.109,0.8909999999999999,0.2382,"['thanks', 'helpgot', 'need', 'issue', 'austrian', 'guess', 'sit', 'awhile', 'longer']",thanks helpgot need issue austrian guess sit awhile longer,0.2,0.2, compliment
48,48,   I would have loved to respond to your website until I saw the really long form In business the new seats are bad,,2015-02-24 10:06:13 -0800,California/Nevada,0.133,0.14800000000000002,0.72,0.1027,"['would', 'loved', 'respond', 'website', 'saw', 'really', 'long', 'form', 'business', 'new', 'seat', 'bad']",would loved respond website saw really long form business new seat bad,0.0215909090909091,0.5803030303030303, online
49,49, A refund and flight vouchers or another flight on a different airline at your expense for today 8 hour drive is very inconvenient,,2015-02-24 10:05:45 -0800,"Kansas City, MO",0.124,0.0,0.8759999999999999,-0.4005,"['refund', 'voucher', 'another', 'different', 'expense', 'today', 'hour', 'drive', 'inconvenient']",refund voucher another different expense today hour drive inconvenient,-0.3,0.8, refund
50,50, then why have I not received my call back its been 3 daysits an infant car seat how am I supposed to go anywhere with my child,,2015-02-24 10:00:20 -0800,,0.0,0.0,1.0,0.0,"['received', 'call', 'back', 'daysits', 'infant', 'car', 'seat', 'supposed', 'go', 'anywhere', 'child']",received call back daysits infant car seat supposed go anywhere child,0.0,0.0, children
51,51, thanks again for your concern I will contact customer care upon our return from Australia,,2015-02-24 10:00:19 -0800,,0.0,0.337,0.6629999999999999,0.7269,"['thanks', 'concern', 'contact', 'customer', 'care', 'upon', 'return', 'australia']",thanks concern contact customer care upon return australia,0.2,0.2, compliment
52,52, well sitting on the ground on time but waiting for a gateagain tiredofthis,,2015-02-24 09:54:12 -0800,,0.0,0.124,0.8759999999999999,0.1406,"['well', 'sitting', 'ground', 'time', 'waiting', 'gateagain', 'tiredofthis']",well sitting ground time waiting gateagain tiredofthis,0.0,0.0, delay
55,55, A measly 50 ecertificate is not how you appreciate loyal customers after they wait 3hrs on the tarmac during UA1116 unacceptable,,2015-02-24 09:42:45 -0800,San Francisco Bay Area,0.207,0.122,0.67,-0.2865,"['measly', 'ecertificate', 'appreciate', 'loyal', 'customer', 'wait', 'hr', 'tarmac', 'unacceptable']",measly ecertificate appreciate loyal customer wait hr tarmac unacceptable,-0.11666666666666672,0.8500000000000001, delay
57,57, Thank you for that Am I able to claim any interim expenses or is the cost of the stuff up on me,,2015-02-24 09:39:15 -0800,,0.0,0.111,0.889,0.3612,"['thank', 'able', 'claim', 'interim', 'expense', 'cost', 'stuff']",thank able claim interim expense cost stuff,0.5,0.625, compliment refund
59,59,  Why cant I get a boarding pass for my Austrian Airlines codeshare flight Rebook incls a 6 hour layover amp I am stuck outside sec,,2015-02-24 09:36:12 -0800,The Center of My Universe,0.095,0.0,0.905,-0.25,"['cant', 'get', 'boarding', 'pas', 'austrian', 'codeshare', 'rebook', 'incls', 'hour', 'layover', 'stuck', 'outside', 'sec']",cant get boarding pas austrian codeshare rebook incls hour layover stuck outside sec,-0.05,0.325, delay
60,60, I received on other flights united  truly breaks guitars unitedbreaksguitars wantmymoneyback,,2015-02-24 09:34:00 -0800,"Jerusalem, Israel",0.0,0.41600000000000004,0.584,0.6908,"['received', 'flight', 'truly', 'break', 'guitar', 'unitedbreaksguitars', 'wantmymoneyback']",received flight truly break guitar unitedbreaksguitars wantmymoneyback,0.0,0.0, baggage
61,61, just flew to TelAviv paid 100 from a third suitcase which didnt even make it on the plane Besides for the impolite service,,2015-02-24 09:32:46 -0800,"Jerusalem, Israel",0.11,0.0,0.89,-0.3818,"['flew', 'telaviv', 'paid', 'third', 'suitcase', 'didnt', 'even', 'make', 'plane', 'besides', 'impolite', 'service']",flew telaviv paid third suitcase didnt even make plane besides impolite service,0.0,0.0, baggage
62,62,  My bag is still in Colo Springs I am disabled and have to search an unfamiliar airport and look for my bag Not a good outcome,,2015-02-24 09:32:43 -0800,"Jacksonville, FL",0.095,0.0,0.905,-0.3412,"['bag', 'still', 'colo', 'spring', 'disabled', 'search', 'unfamiliar', 'airport', 'look', 'bag', 'good', 'outcome']",bag still colo spring disabled search unfamiliar airport look bag good outcome,0.25,0.4500000000000001, baggage
63,63, Shame that theres no flex to tickets transfer rules  Even calling from Neurosurgery ICU isnt enough,,2015-02-24 09:32:39 -0800,,0.275,0.0,0.725,-0.6486,"['shame', 'there', 'flex', 'ticket', 'transfer', 'rule', 'even', 'calling', 'neurosurgery', 'icu', 'isnt', 'enough']",shame there flex ticket transfer rule even calling neurosurgery icu isnt enough,0.0,0.5, ticketing_billing
64,64, No Denver said they dont handle baggage that made it to Colo Springs  They gave me an 800 number to call No help there either,,2015-02-24 09:24:12 -0800,"Jacksonville, FL",0.15,0.136,0.7140000000000001,-0.1027,"['denver', 'said', 'dont', 'handle', 'baggage', 'made', 'colo', 'spring', 'gave', 'number', 'call', 'help', 'either']",denver said dont handle baggage made colo spring gave number call help either,0.0,0.0, baggage
65,65, you guys need some serious training in customer service Too many better options to put up with the way you guys handle ur mistakes,,2015-02-24 09:22:16 -0800,,0.13699999999999998,0.105,0.758,0.0258,"['guy', 'need', 'serious', 'training', 'customer', 'service', 'many', 'better', 'option', 'put', 'way', 'guy', 'handle', 'ur', 'mistake']",guy need serious training customer service many better option put way guy handle ur mistake,0.22222222222222224,0.5555555555555555, staff
67,67, once he found out we had a problem he avoided me like the plague Was told we cant find a supervisor,,2015-02-24 09:19:38 -0800,,0.21600000000000003,0.106,0.6779999999999999,-0.3818,"['found', 'problem', 'avoided', 'like', 'plague', 'told', 'cant', 'find', 'supervisor']",found problem avoided like plague told cant find supervisor,0.0,0.0, staff
68,68, ZCC82U Cancelled Flight flight 16h in advance Need connect flight reschedule so the link isnt helping Help Gf waited months to see me,,2015-02-24 09:19:25 -0800,,0.235,0.0,0.765,-0.6305,"['zccu', 'cancelled', 'h', 'advance', 'need', 'connect', 'reschedule', 'link', 'isnt', 'helping', 'help', 'gf', 'waited', 'month', 'see']",zccu cancelled h advance need connect reschedule link isnt helping help gf waited month see,0.0,0.0, delay cancellation
70,70, in addition my first flight was delayed an hour and Im arriving at my destination 8 hrs Late Flight,,2015-02-24 09:18:49 -0800,,0.10099999999999999,0.0,0.899,-0.2263,"['addition', 'first', 'delayed', 'hour', 'arriving', 'destination', 'hr', 'late']",addition first delayed hour arriving destination hr late,-0.024999999999999998,0.4666666666666667, delay
71,71, Cancelled Flighted our flight didnt rebook us on added flight now have to drive from a Denver to KCthanks,,2015-02-24 09:17:43 -0800,"Kansas City, MO",0.105,0.0,0.895,-0.25,"['cancelled', 'flighted', 'didnt', 'rebook', 'u', 'added', 'drive', 'denver', 'kcthanks']",cancelled flighted didnt rebook u added drive denver kcthanks,0.0,0.0, compliment cancellation
74,74, our travel booked thru United group dept Okc ticket agent less than willing to help with our connection in LAX,,2015-02-24 09:15:56 -0800,,0.0,0.23399999999999999,0.7659999999999999,0.6705,"['travel', 'booked', 'thru', 'group', 'dept', 'okc', 'ticket', 'agent', 'le', 'willing', 'help', 'connection', 'lax']",travel booked thru group dept okc ticket agent le willing help connection lax,0.25,0.75, staff ticketing_billing connection
76,76, thnx for quick reply but dont think you can assist Our intl grp will be put to considerable inconvenience today,,2015-02-24 09:14:01 -0800,,0.146,0.0,0.8540000000000001,-0.5023,"['thnx', 'quick', 'reply', 'dont', 'think', 'assist', 'intl', 'grp', 'put', 'considerable', 'inconvenience', 'today']",thnx quick reply dont think assist intl grp put considerable inconvenience today,0.21666666666666667,0.475, compliment
77,77, wont transfer flight ticket to accompany an 11 yr old whos active military mom had to have emergency brain surgery WOW,,2015-02-24 09:09:00 -0800,Harrisburg,0.09300000000000001,0.26,0.647,0.6841,"['wont', 'transfer', 'ticket', 'accompany', 'yr', 'old', 'who', 'active', 'military', 'mom', 'emergency', 'brain', 'surgery', 'wow']",wont transfer ticket accompany yr old who active military mom emergency brain surgery wow,-0.008333333333333331,0.475, ticketing_billing
78,78,  7 WEEKS Late FlightR AND I STILL HAVE NOT RECEIVED MY MILES FROM THE MileagePlus Gift Card 150 STARBUCKS CARD I HANDED OVER,,2015-02-24 09:08:44 -0800,Wall Street • Manhattan • NYC ,0.0,0.132,0.868,0.4404,"['week', 'late', 'flightr', 'still', 'received', 'mile', 'mileageplus', 'gift', 'card', 'starbucks', 'card', 'handed']",week late flightr still received mile mileageplus gift card starbucks card handed,-0.3,0.6, delay loyalty_program
80,80, not yet I complained about the guy who checked my luggage in as he was throwing the bags around Unfortunate coincidence I hope,"[52.59657643, -2.19877833]",2015-02-24 09:04:00 -0800,,0.115,0.19699999999999998,0.688,0.2865,"['yet', 'complained', 'guy', 'checked', 'luggage', 'throwing', 'bag', 'around', 'unfortunate', 'coincidence', 'hope']",yet complained guy checked luggage throwing bag around unfortunate coincidence hope,-0.4,0.6, baggage
81,81, OKC ticket agent Roger McLarrensp LESS than helpful with our Intl group travel problems Cant find a supervisor for help,,2015-02-24 08:54:47 -0800,,0.11,0.24,0.65,0.49700000000000005,"['okc', 'ticket', 'agent', 'roger', 'mclarrensp', 'le', 'helpful', 'intl', 'group', 'travel', 'problem', 'cant', 'find', 'supervisor', 'help']",okc ticket agent roger mclarrensp le helpful intl group travel problem cant find supervisor help,0.0,0.0, staff ticketing_billing
83,83, another fail for the United ticket agents in OKC LESS than helpful and could care less about our problems American here we come,,2015-02-24 08:50:39 -0800,,0.179,0.278,0.5429999999999999,0.5076,"['another', 'fail', 'ticket', 'agent', 'okc', 'le', 'helpful', 'could', 'care', 'le', 'problem', 'american', 'come']",another fail ticket agent okc le helpful could care le problem american come,-0.25,0.14999999999999994, staff ticketing_billing
86,86, I just sent an email to Customer Care telling them I may have to break up with you  I sincerely hope they can help me,,2015-02-24 08:42:11 -0800,,0.0,0.39799999999999996,0.602,0.8979,"['sent', 'email', 'customer', 'care', 'telling', 'may', 'break', 'sincerely', 'hope', 'help']",sent email customer care telling may break sincerely hope help,0.5,0.5, baggage
87,87, silly Im flying delta today Your united club staff and attendants are surly and unhelpful and always seem bothered by pesky folk,,2015-02-24 08:36:28 -0800,Louisville,0.17,0.14800000000000002,0.682,-0.1531,"['silly', 'flying', 'delta', 'today', 'club', 'staff', 'attendant', 'surly', 'unhelpful', 'always', 'seem', 'bothered', 'pesky', 'folk']",silly flying delta today club staff attendant surly unhelpful always seem bothered pesky folk,-0.15,0.6375, staff
